year,value,indicator,unit,code
2000,29.433851703179833,Tropospheric Ozone,DU,ozone_trop
2001,30.031741870893857,Tropospheric Ozone,DU,ozone_trop
2002,30.262914193389292,Tropospheric Ozone,DU,ozone_trop
2003,30.279089092311352,Tropospheric Ozone,DU,ozone_trop
2004,30.735485715333596,Tropospheric Ozone,DU,ozone_trop
2005,31.161620342725815,Tropospheric Ozone,DU,ozone_trop
2006,31.954474360484213,Tropospheric Ozone,DU,ozone_trop
2007,31.469831125132735,Tropospheric Ozone,DU,ozone_trop
2008,31.703020156289107,Tropospheric Ozone,DU,ozone_trop
2009,31.770221633693534,Tropospheric Ozone,DU,ozone_trop
2010,31.232491513880383,Tropospheric Ozone,DU,ozone_trop
2011,32.18939444982031,Tropospheric Ozone,DU,ozone_trop
2012,32.42409208397641,Tropospheric Ozone,DU,ozone_trop
2013,33.58529684499412,Tropospheric Ozone,DU,ozone_trop
2014,32.72305561408755,Tropospheric Ozone,DU,ozone_trop
2015,33.12061893693345,Tropospheric Ozone,DU,ozone_trop
2016,33.186115292117904,Tropospheric Ozone,DU,ozone_trop
2017,32.93252878495218,Tropospheric Ozone,DU,ozone_trop
2018,34.05712912580601,Tropospheric Ozone,DU,ozone_trop
2019,34.10077321307471,Tropospheric Ozone,DU,ozone_trop
2020,34.31641277881722,Tropospheric Ozone,DU,ozone_trop
2021,33.83624501808211,Tropospheric Ozone,DU,ozone_trop
2022,34.96111772437444,Tropospheric Ozone,DU,ozone_trop
2023,34.03925957488309,Tropospheric Ozone,DU,ozone_trop
2024,35.034742837520106,Tropospheric Ozone,DU,ozone_trop
