year,value,indicator,unit,code
2000,20.376409526097518,Paris Agreement Compliance,%,paris_compliance
2001,19.59794844564249,Paris Agreement Compliance,%,paris_compliance
2002,20.130336918725305,Paris Agreement Compliance,%,paris_compliance
2003,22.625434784414768,Paris Agreement Compliance,%,paris_compliance
2004,20.810588107132673,Paris Agreement Compliance,%,paris_compliance
2005,24.142672953255964,Paris Agreement Compliance,%,paris_compliance
2006,22.09937926535213,Paris Agreement Compliance,%,paris_compliance
2007,24.13839192560838,Paris Agreement Compliance,%,paris_compliance
2008,23.671381524251014,Paris Agreement Compliance,%,paris_compliance
2009,25.103187431082343,Paris Agreement Compliance,%,paris_compliance
2010,24.455885997885808,Paris Agreement Compliance,%,paris_compliance
2011,25.337207093927706,Paris Agreement Compliance,%,paris_compliance
2012,26.04091917539572,Paris Agreement Compliance,%,paris_compliance
2013,25.497812544218526,Paris Agreement Compliance,%,paris_compliance
2014,27.740824345420126,Paris Agreement Compliance,%,paris_compliance
2015,26.986786433528415,Paris Agreement Compliance,%,paris_compliance
2016,27.77140008465998,Paris Agreement Compliance,%,paris_compliance
2017,27.50565062539149,Paris Agreement Compliance,%,paris_compliance
2018,26.43766634120469,Paris Agreement Compliance,%,paris_compliance
2019,29.308972237399832,Paris Agreement Compliance,%,paris_compliance
2020,32.41261542161291,Paris Agreement Compliance,%,paris_compliance
2021,31.284604287898024,Paris Agreement Compliance,%,paris_compliance
2022,30.980739620265606,Paris Agreement Compliance,%,paris_compliance
2023,31.237109170791733,Paris Agreement Compliance,%,paris_compliance
2024,32.02246589281204,Paris Agreement Compliance,%,paris_compliance
