year,value,indicator,unit,code
2000,10.349058935739226,Peatland Degradation,%,peatland_deg
2001,10.43040278253456,Peatland Degradation,%,peatland_deg
2002,10.89602506137461,Peatland Degradation,%,peatland_deg
2003,11.690814378184333,Peatland Degradation,%,peatland_deg
2004,10.781765947841276,Peatland Degradation,%,peatland_deg
2005,11.794098770061323,Peatland Degradation,%,peatland_deg
2006,11.065132740897928,Peatland Degradation,%,peatland_deg
2007,13.119378498084224,Peatland Degradation,%,peatland_deg
2008,13.717756751762192,Peatland Degradation,%,peatland_deg
2009,13.2134508301605,Peatland Degradation,%,peatland_deg
2010,15.259189410632025,Peatland Degradation,%,peatland_deg
2011,13.419387469598128,Peatland Degradation,%,peatland_deg
2012,13.628500095832145,Peatland Degradation,%,peatland_deg
2013,15.379561454847977,Peatland Degradation,%,peatland_deg
2014,16.437678642089725,Peatland Degradation,%,peatland_deg
2015,17.347142153166295,Peatland Degradation,%,peatland_deg
2016,16.032892589704847,Peatland Degradation,%,peatland_deg
2017,17.662944666745037,Peatland Degradation,%,peatland_deg
2018,17.169193224399432,Peatland Degradation,%,peatland_deg
2019,17.461898160047344,Peatland Degradation,%,peatland_deg
2020,18.70692794998934,Peatland Degradation,%,peatland_deg
2021,18.921858302730733,Peatland Degradation,%,peatland_deg
2022,17.5388862744126,Peatland Degradation,%,peatland_deg
2023,20.38123227978072,Peatland Degradation,%,peatland_deg
2024,20.70407308331796,Peatland Degradation,%,peatland_deg
