year,value,indicator,unit,code
2000,20.938283805976,Permafrost Thaw Rate,cm/year,permafrost_thaw
2001,19.983955271782627,Permafrost Thaw Rate,cm/year,permafrost_thaw
2002,21.09612077694098,Permafrost Thaw Rate,cm/year,permafrost_thaw
2003,21.037724711294956,Permafrost Thaw Rate,cm/year,permafrost_thaw
2004,21.565503772567684,Permafrost Thaw Rate,cm/year,permafrost_thaw
2005,22.190827876531362,Permafrost Thaw Rate,cm/year,permafrost_thaw
2006,23.222133771633715,Permafrost Thaw Rate,cm/year,permafrost_thaw
2007,23.021251378336522,Permafrost Thaw Rate,cm/year,permafrost_thaw
2008,25.25575612557352,Permafrost Thaw Rate,cm/year,permafrost_thaw
2009,23.605392697780495,Permafrost Thaw Rate,cm/year,permafrost_thaw
2010,24.81312835583864,Permafrost Thaw Rate,cm/year,permafrost_thaw
2011,25.060268941725823,Permafrost Thaw Rate,cm/year,permafrost_thaw
2012,27.446977884353732,Permafrost Thaw Rate,cm/year,permafrost_thaw
2013,26.696554776511576,Permafrost Thaw Rate,cm/year,permafrost_thaw
2014,28.031844539468636,Permafrost Thaw Rate,cm/year,permafrost_thaw
2015,26.01443962696303,Permafrost Thaw Rate,cm/year,permafrost_thaw
2016,28.26705026586926,Permafrost Thaw Rate,cm/year,permafrost_thaw
2017,29.389630795623436,Permafrost Thaw Rate,cm/year,permafrost_thaw
2018,29.082283989275425,Permafrost Thaw Rate,cm/year,permafrost_thaw
2019,30.565480375065352,Permafrost Thaw Rate,cm/year,permafrost_thaw
2020,29.482711549899626,Permafrost Thaw Rate,cm/year,permafrost_thaw
2021,31.90934744018558,Permafrost Thaw Rate,cm/year,permafrost_thaw
2022,33.29889812361925,Permafrost Thaw Rate,cm/year,permafrost_thaw
2023,31.13716143956034,Permafrost Thaw Rate,cm/year,permafrost_thaw
2024,31.554497478599227,Permafrost Thaw Rate,cm/year,permafrost_thaw
