year,value,indicator,unit,code
2000,0.20302795446658142,Phytoplankton Concentration,mg/m3,phytoplankton
2001,0.1943113387032895,Phytoplankton Concentration,mg/m3,phytoplankton
2002,0.19947842368042265,Phytoplankton Concentration,mg/m3,phytoplankton
2003,0.1994225514352198,Phytoplankton Concentration,mg/m3,phytoplankton
2004,0.1936537396128948,Phytoplankton Concentration,mg/m3,phytoplankton
2005,0.19750718325023225,Phytoplankton Concentration,mg/m3,phytoplankton
2006,0.18490484320358572,Phytoplankton Concentration,mg/m3,phytoplankton
2007,0.18102138118675434,Phytoplankton Concentration,mg/m3,phytoplankton
2008,0.1768851190043829,Phytoplankton Concentration,mg/m3,phytoplankton
2009,0.18798417724595673,Phytoplankton Concentration,mg/m3,phytoplankton
2010,0.18261746262541625,Phytoplankton Concentration,mg/m3,phytoplankton
2011,0.1777776613163582,Phytoplankton Concentration,mg/m3,phytoplankton
2012,0.1771198745052793,Phytoplankton Concentration,mg/m3,phytoplankton
2013,0.16949804381080652,Phytoplankton Concentration,mg/m3,phytoplankton
2014,0.18178300791846733,Phytoplankton Concentration,mg/m3,phytoplankton
2015,0.1705168847279009,Phytoplankton Concentration,mg/m3,phytoplankton
2016,0.1684375791784196,Phytoplankton Concentration,mg/m3,phytoplankton
2017,0.16890306649559478,Phytoplankton Concentration,mg/m3,phytoplankton
2018,0.16592403692694685,Phytoplankton Concentration,mg/m3,phytoplankton
2019,0.16289553609711654,Phytoplankton Concentration,mg/m3,phytoplankton
2020,0.15683810217821875,Phytoplankton Concentration,mg/m3,phytoplankton
2021,0.159885873428544,Phytoplankton Concentration,mg/m3,phytoplankton
2022,0.16352809798590015,Phytoplankton Concentration,mg/m3,phytoplankton
2023,0.15938168018461993,Phytoplankton Concentration,mg/m3,phytoplankton
2024,0.1583727465065576,Phytoplankton Concentration,mg/m3,phytoplankton
