year,value,indicator,unit,code
2000,2.5143114944139313,Precipitation Intensity,mm/day,precip_intensity
2001,2.542431381054729,Precipitation Intensity,mm/day,precip_intensity
2002,2.5833220497270113,Precipitation Intensity,mm/day,precip_intensity
2003,2.602152082081396,Precipitation Intensity,mm/day,precip_intensity
2004,2.5248932252817164,Precipitation Intensity,mm/day,precip_intensity
2005,2.5624869984033953,Precipitation Intensity,mm/day,precip_intensity
2006,2.6406014106883466,Precipitation Intensity,mm/day,precip_intensity
2007,2.6605514380364883,Precipitation Intensity,mm/day,precip_intensity
2008,2.680601907452242,Precipitation Intensity,mm/day,precip_intensity
2009,2.834109259626189,Precipitation Intensity,mm/day,precip_intensity
2010,2.722835620427727,Precipitation Intensity,mm/day,precip_intensity
2011,2.7654226256072243,Precipitation Intensity,mm/day,precip_intensity
2012,2.7781600705397285,Precipitation Intensity,mm/day,precip_intensity
2013,2.7860556500522318,Precipitation Intensity,mm/day,precip_intensity
2014,2.7673892302143863,Precipitation Intensity,mm/day,precip_intensity
2015,2.8303587688197305,Precipitation Intensity,mm/day,precip_intensity
2016,2.789086991418497,Precipitation Intensity,mm/day,precip_intensity
2017,2.8305272557303995,Precipitation Intensity,mm/day,precip_intensity
2018,2.840585458086836,Precipitation Intensity,mm/day,precip_intensity
2019,2.8832749655754526,Precipitation Intensity,mm/day,precip_intensity
2020,2.9925863426669403,Precipitation Intensity,mm/day,precip_intensity
2021,2.84530939229633,Precipitation Intensity,mm/day,precip_intensity
2022,2.9674504076149804,Precipitation Intensity,mm/day,precip_intensity
2023,2.895491365152414,Precipitation Intensity,mm/day,precip_intensity
2024,2.9611227253684227,Precipitation Intensity,mm/day,precip_intensity
