year,value,indicator,unit,code
2000,1012.9846530487422,Pressure Anomaly,hPa,pressure_anom
2001,1013.0074464127345,Pressure Anomaly,hPa,pressure_anom
2002,1012.9836668401148,Pressure Anomaly,hPa,pressure_anom
2003,1013.0137960586644,Pressure Anomaly,hPa,pressure_anom
2004,1012.9438340342929,Pressure Anomaly,hPa,pressure_anom
2005,1012.9332055631564,Pressure Anomaly,hPa,pressure_anom
2006,1012.9280121470912,Pressure Anomaly,hPa,pressure_anom
2007,1012.8875220855138,Pressure Anomaly,hPa,pressure_anom
2008,1012.9094848995663,Pressure Anomaly,hPa,pressure_anom
2009,1012.894817346769,Pressure Anomaly,hPa,pressure_anom
2010,1012.9030078757295,Pressure Anomaly,hPa,pressure_anom
2011,1012.8968351195156,Pressure Anomaly,hPa,pressure_anom
2012,1012.9175234167843,Pressure Anomaly,hPa,pressure_anom
2013,1012.8890084767637,Pressure Anomaly,hPa,pressure_anom
2014,1012.8484619268868,Pressure Anomaly,hPa,pressure_anom
2015,1012.832031706573,Pressure Anomaly,hPa,pressure_anom
2016,1012.8498383834302,Pressure Anomaly,hPa,pressure_anom
2017,1012.8035953358597,Pressure Anomaly,hPa,pressure_anom
2018,1012.8566291753172,Pressure Anomaly,hPa,pressure_anom
2019,1012.8335888024144,Pressure Anomaly,hPa,pressure_anom
2020,1012.7906164869579,Pressure Anomaly,hPa,pressure_anom
2021,1012.7557373094181,Pressure Anomaly,hPa,pressure_anom
2022,1012.8070774474833,Pressure Anomaly,hPa,pressure_anom
2023,1012.7677092030949,Pressure Anomaly,hPa,pressure_anom
2024,1012.7847563262395,Pressure Anomaly,hPa,pressure_anom
