year,value,indicator,unit,code
2000,12.432937503075687,Protected Area Coverage,%,protected_area
2001,12.16148017569314,Protected Area Coverage,%,protected_area
2002,13.47195639799262,Protected Area Coverage,%,protected_area
2003,12.09683652016605,Protected Area Coverage,%,protected_area
2004,13.615751173818966,Protected Area Coverage,%,protected_area
2005,13.136483507544664,Protected Area Coverage,%,protected_area
2006,14.831626743724378,Protected Area Coverage,%,protected_area
2007,15.295509211900871,Protected Area Coverage,%,protected_area
2008,13.940006047329991,Protected Area Coverage,%,protected_area
2009,14.370265718454851,Protected Area Coverage,%,protected_area
2010,15.515752732187881,Protected Area Coverage,%,protected_area
2011,15.067721610126291,Protected Area Coverage,%,protected_area
2012,15.572753269240657,Protected Area Coverage,%,protected_area
2013,15.915233052325446,Protected Area Coverage,%,protected_area
2014,15.048196106281406,Protected Area Coverage,%,protected_area
2015,16.491697352343458,Protected Area Coverage,%,protected_area
2016,16.386163335561495,Protected Area Coverage,%,protected_area
2017,16.80412630656014,Protected Area Coverage,%,protected_area
2018,18.266179202081286,Protected Area Coverage,%,protected_area
2019,16.946095863432447,Protected Area Coverage,%,protected_area
2020,18.487923112048787,Protected Area Coverage,%,protected_area
2021,18.132622241800917,Protected Area Coverage,%,protected_area
2022,18.4321438989025,Protected Area Coverage,%,protected_area
2023,19.374223137631024,Protected Area Coverage,%,protected_area
2024,19.404030776741333,Protected Area Coverage,%,protected_area
