year,value,indicator,unit,code
2000,25.528521612909206,Public Transport Usage,%,public_transport
2001,25.767841201805453,Public Transport Usage,%,public_transport
2002,25.159830573704518,Public Transport Usage,%,public_transport
2003,24.853384019455756,Public Transport Usage,%,public_transport
2004,26.20300547593477,Public Transport Usage,%,public_transport
2005,25.726148069696,Public Transport Usage,%,public_transport
2006,26.516250239665105,Public Transport Usage,%,public_transport
2007,25.611958472915266,Public Transport Usage,%,public_transport
2008,26.957038935319726,Public Transport Usage,%,public_transport
2009,26.31553122828769,Public Transport Usage,%,public_transport
2010,27.29230564762661,Public Transport Usage,%,public_transport
2011,27.205709227134573,Public Transport Usage,%,public_transport
2012,27.01842423224134,Public Transport Usage,%,public_transport
2013,27.43718547482929,Public Transport Usage,%,public_transport
2014,28.07452738278268,Public Transport Usage,%,public_transport
2015,28.042357781246093,Public Transport Usage,%,public_transport
2016,28.433765192188993,Public Transport Usage,%,public_transport
2017,29.190576233806194,Public Transport Usage,%,public_transport
2018,27.97430335531558,Public Transport Usage,%,public_transport
2019,29.44688502998745,Public Transport Usage,%,public_transport
2020,29.041742375009285,Public Transport Usage,%,public_transport
2021,28.840486380670747,Public Transport Usage,%,public_transport
2022,28.867874549704403,Public Transport Usage,%,public_transport
2023,29.52435184368919,Public Transport Usage,%,public_transport
2024,30.168660044769783,Public Transport Usage,%,public_transport
