year,value,indicator,unit,code
2000,14.914460442486039,Renewable Energy Share,%,renewable_share
2001,12.323683641826776,Renewable Energy Share,%,renewable_share
2002,20.19537445069721,Renewable Energy Share,%,renewable_share
2003,16.836980215684683,Renewable Energy Share,%,renewable_share
2004,17.855394151165488,Renewable Energy Share,%,renewable_share
2005,21.481366073354263,Renewable Energy Share,%,renewable_share
2006,24.956729638628914,Renewable Energy Share,%,renewable_share
2007,20.962027634451847,Renewable Energy Share,%,renewable_share
2008,24.748031639635133,Renewable Energy Share,%,renewable_share
2009,26.82915960079337,Renewable Energy Share,%,renewable_share
2010,28.663453457431547,Renewable Energy Share,%,renewable_share
2011,28.62345973266534,Renewable Energy Share,%,renewable_share
2012,28.519133186200026,Renewable Energy Share,%,renewable_share
2013,28.613783470443074,Renewable Energy Share,%,renewable_share
2014,32.0067453193113,Renewable Energy Share,%,renewable_share
2015,30.426866371234542,Renewable Energy Share,%,renewable_share
2016,27.188758839612944,Renewable Energy Share,%,renewable_share
2017,36.4477435299784,Renewable Energy Share,%,renewable_share
2018,38.769443618606864,Renewable Energy Share,%,renewable_share
2019,32.128962154699586,Renewable Energy Share,%,renewable_share
2020,36.57664630869615,Renewable Energy Share,%,renewable_share
2021,41.68597022641248,Renewable Energy Share,%,renewable_share
2022,46.33798912730808,Renewable Energy Share,%,renewable_share
2023,42.64990489842097,Renewable Energy Share,%,renewable_share
2024,42.05279294105007,Renewable Energy Share,%,renewable_share
