year,value,indicator,unit,code
2000,3.9645393506358624,Residential Emissions,GtCO2,resid_emis
2001,4.03523843001428,Residential Emissions,GtCO2,resid_emis
2002,4.001885353982747,Residential Emissions,GtCO2,resid_emis
2003,4.016924673227024,Residential Emissions,GtCO2,resid_emis
2004,4.028086774119131,Residential Emissions,GtCO2,resid_emis
2005,4.077488761863417,Residential Emissions,GtCO2,resid_emis
2006,4.017286515720426,Residential Emissions,GtCO2,resid_emis
2007,4.1327549706732,Residential Emissions,GtCO2,resid_emis
2008,4.101121136181321,Residential Emissions,GtCO2,resid_emis
2009,4.094464778282583,Residential Emissions,GtCO2,resid_emis
2010,4.098902119987674,Residential Emissions,GtCO2,resid_emis
2011,4.115711081497153,Residential Emissions,GtCO2,resid_emis
2012,4.130422448567587,Residential Emissions,GtCO2,resid_emis
2013,4.142904311719001,Residential Emissions,GtCO2,resid_emis
2014,4.151112089320069,Residential Emissions,GtCO2,resid_emis
2015,4.151791613625106,Residential Emissions,GtCO2,resid_emis
2016,4.156053231593853,Residential Emissions,GtCO2,resid_emis
2017,4.16697453432693,Residential Emissions,GtCO2,resid_emis
2018,4.176101834392946,Residential Emissions,GtCO2,resid_emis
2019,4.212675401937342,Residential Emissions,GtCO2,resid_emis
2020,4.211871134445618,Residential Emissions,GtCO2,resid_emis
2021,4.151192227306715,Residential Emissions,GtCO2,resid_emis
2022,4.233118015530595,Residential Emissions,GtCO2,resid_emis
2023,4.233894723894376,Residential Emissions,GtCO2,resid_emis
2024,4.239625824871082,Residential Emissions,GtCO2,resid_emis
