year,value,indicator,unit,code
2000,993.7443729849047,River Discharge,m3/s,river_discharge
2001,998.9580353343741,River Discharge,m3/s,river_discharge
2002,994.9403018628274,River Discharge,m3/s,river_discharge
2003,987.6067376582391,River Discharge,m3/s,river_discharge
2004,974.4969484615458,River Discharge,m3/s,river_discharge
2005,968.2837663206195,River Discharge,m3/s,river_discharge
2006,969.7444592900855,River Discharge,m3/s,river_discharge
2007,976.7272901925936,River Discharge,m3/s,river_discharge
2008,965.4360015459444,River Discharge,m3/s,river_discharge
2009,951.2938566791389,River Discharge,m3/s,river_discharge
2010,957.7169871064834,River Discharge,m3/s,river_discharge
2011,916.5145737936992,River Discharge,m3/s,river_discharge
2012,951.487657003721,River Discharge,m3/s,river_discharge
2013,917.602862212219,River Discharge,m3/s,river_discharge
2014,926.3755905859687,River Discharge,m3/s,river_discharge
2015,913.8033010537386,River Discharge,m3/s,river_discharge
2016,907.053185242791,River Discharge,m3/s,river_discharge
2017,926.6082678737852,River Discharge,m3/s,river_discharge
2018,905.3229879868811,River Discharge,m3/s,river_discharge
2019,908.4650388173071,River Discharge,m3/s,river_discharge
2020,899.5307942112081,River Discharge,m3/s,river_discharge
2021,899.7704082722312,River Discharge,m3/s,river_discharge
2022,890.7682189106025,River Discharge,m3/s,river_discharge
2023,872.1700777581143,River Discharge,m3/s,river_discharge
2024,889.9626681944713,River Discharge,m3/s,river_discharge
