year,value,indicator,unit,code
2000,35.00185235509506,Ocean Salinity,psu,salinity
2001,35.00281883328094,Ocean Salinity,psu,salinity
2002,34.99520286485236,Ocean Salinity,psu,salinity
2003,34.99812593847338,Ocean Salinity,psu,salinity
2004,34.994698714861755,Ocean Salinity,psu,salinity
2005,34.99402574923247,Ocean Salinity,psu,salinity
2006,34.99281521215152,Ocean Salinity,psu,salinity
2007,34.99127201846064,Ocean Salinity,psu,salinity
2008,34.99209704325589,Ocean Salinity,psu,salinity
2009,34.989338099767174,Ocean Salinity,psu,salinity
2010,34.990540913651564,Ocean Salinity,psu,salinity
2011,34.9888995237811,Ocean Salinity,psu,salinity
2012,34.987522103906265,Ocean Salinity,psu,salinity
2013,34.985184872675916,Ocean Salinity,psu,salinity
2014,34.98484645733886,Ocean Salinity,psu,salinity
2015,34.98651078245165,Ocean Salinity,psu,salinity
2016,34.985001834375254,Ocean Salinity,psu,salinity
2017,34.9810448895104,Ocean Salinity,psu,salinity
2018,34.982198664610856,Ocean Salinity,psu,salinity
2019,34.98250277424675,Ocean Salinity,psu,salinity
2020,34.976661189437756,Ocean Salinity,psu,salinity
2021,34.98008672038476,Ocean Salinity,psu,salinity
2022,34.97667475248211,Ocean Salinity,psu,salinity
2023,34.97814119733718,Ocean Salinity,psu,salinity
2024,34.974473481686914,Ocean Salinity,psu,salinity
