year,value,indicator,unit,code
2000,10.955777293819843,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2001,10.994712291162172,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2002,10.99541730387774,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2003,10.940428275084404,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2004,10.98287508086414,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2005,10.956769928149887,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2006,10.931694241721983,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2007,10.942655637322126,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2008,10.965413857156088,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2009,10.91363732510117,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2010,10.904964411726008,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2011,10.880812782009196,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2012,10.863003112610706,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2013,10.886606716330885,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2014,10.842878323481822,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2015,10.851431324744388,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2016,10.830446851064698,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2017,10.839579596514929,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2018,10.82667324210574,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2019,10.830750798885159,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2020,10.789799672022905,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2021,10.784602501294131,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2022,10.760424725684354,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2023,10.761114134798477,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
2024,10.767546009860897,Sea Ice Extent (Antarctic),million km2,sea_ice_antarctic
