year,value,indicator,unit,code
2000,12.00865897874729,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2001,11.934432276460791,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2002,12.01677820616598,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2003,11.875442084330121,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2004,11.833760266207522,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2005,11.708812303387754,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2006,11.65123937759275,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2007,11.606744181218039,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2008,11.63944521423783,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2009,11.507901551917975,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2010,11.52897748568964,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2011,11.657540079864543,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2012,11.48711247034317,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2013,11.317397646783215,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2014,11.420121392216394,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2015,11.209192462697844,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2016,10.996187546482213,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2017,11.04919136890826,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2018,10.912920807897414,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2019,11.01484865159587,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2020,11.001841837918954,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2021,11.117643731227528,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2022,10.932692737376417,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2023,10.828089947119114,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
2024,10.88294055811835,Sea Ice Extent (Arctic),million km2,sea_ice_arctic
