year,value,indicator,unit,code
2000,-0.42621786145756874,Sea Level Rise,mm,sea_level
2001,9.89496777940842,Sea Level Rise,mm,sea_level
2002,0.0970628849183024,Sea Level Rise,mm,sea_level
2003,13.627516305521342,Sea Level Rise,mm,sea_level
2004,9.994248195067403,Sea Level Rise,mm,sea_level
2005,11.60846474061606,Sea Level Rise,mm,sea_level
2006,19.672193552309004,Sea Level Rise,mm,sea_level
2007,16.76035220754826,Sea Level Rise,mm,sea_level
2008,23.43518472363916,Sea Level Rise,mm,sea_level
2009,22.45443033039583,Sea Level Rise,mm,sea_level
2010,47.36013090383145,Sea Level Rise,mm,sea_level
2011,37.639792153407754,Sea Level Rise,mm,sea_level
2012,36.041866545650414,Sea Level Rise,mm,sea_level
2013,45.65506339299271,Sea Level Rise,mm,sea_level
2014,46.83616926210236,Sea Level Rise,mm,sea_level
2015,49.49740672317408,Sea Level Rise,mm,sea_level
2016,58.57633356029529,Sea Level Rise,mm,sea_level
2017,62.951052428321674,Sea Level Rise,mm,sea_level
2018,57.59259219624841,Sea Level Rise,mm,sea_level
2019,60.68443596361617,Sea Level Rise,mm,sea_level
2020,66.12964845936882,Sea Level Rise,mm,sea_level
2021,55.74693607979802,Sea Level Rise,mm,sea_level
2022,64.49670077704984,Sea Level Rise,mm,sea_level
2023,87.49474501862277,Sea Level Rise,mm,sea_level
2024,92.78578045180872,Sea Level Rise,mm,sea_level
