year,value,indicator,unit,code
2000,24.875371894715048,Snow Cover Extent,million km2,snow_cover
2001,24.788904576167948,Snow Cover Extent,million km2,snow_cover
2002,24.672522574538696,Snow Cover Extent,million km2,snow_cover
2003,24.93780330622151,Snow Cover Extent,million km2,snow_cover
2004,24.88410084959797,Snow Cover Extent,million km2,snow_cover
2005,24.385850741250106,Snow Cover Extent,million km2,snow_cover
2006,24.23352888537915,Snow Cover Extent,million km2,snow_cover
2007,24.394283111277282,Snow Cover Extent,million km2,snow_cover
2008,24.089555391143804,Snow Cover Extent,million km2,snow_cover
2009,24.226586363551103,Snow Cover Extent,million km2,snow_cover
2010,24.04058460417026,Snow Cover Extent,million km2,snow_cover
2011,23.596851177000552,Snow Cover Extent,million km2,snow_cover
2012,24.109501040266014,Snow Cover Extent,million km2,snow_cover
2013,24.059175534619104,Snow Cover Extent,million km2,snow_cover
2014,23.477442261903125,Snow Cover Extent,million km2,snow_cover
2015,23.422459688012804,Snow Cover Extent,million km2,snow_cover
2016,23.45717307814498,Snow Cover Extent,million km2,snow_cover
2017,23.366891357997407,Snow Cover Extent,million km2,snow_cover
2018,23.331708854534565,Snow Cover Extent,million km2,snow_cover
2019,23.502040907753273,Snow Cover Extent,million km2,snow_cover
2020,22.96461055450119,Snow Cover Extent,million km2,snow_cover
2021,22.74034055109231,Snow Cover Extent,million km2,snow_cover
2022,22.524136154397095,Snow Cover Extent,million km2,snow_cover
2023,22.553813992011616,Snow Cover Extent,million km2,snow_cover
2024,22.593374605425243,Snow Cover Extent,million km2,snow_cover
