year,value,indicator,unit,code
2000,9.847681309521622,Soil Erosion Rate,t/ha/year,soil_erosion
2001,9.994107815272843,Soil Erosion Rate,t/ha/year,soil_erosion
2002,10.137721187506452,Soil Erosion Rate,t/ha/year,soil_erosion
2003,10.306552402923435,Soil Erosion Rate,t/ha/year,soil_erosion
2004,10.1934249738927,Soil Erosion Rate,t/ha/year,soil_erosion
2005,10.19448004733068,Soil Erosion Rate,t/ha/year,soil_erosion
2006,10.48811570694406,Soil Erosion Rate,t/ha/year,soil_erosion
2007,10.205198609958375,Soil Erosion Rate,t/ha/year,soil_erosion
2008,10.180119404337992,Soil Erosion Rate,t/ha/year,soil_erosion
2009,10.494001445005333,Soil Erosion Rate,t/ha/year,soil_erosion
2010,10.449794577564738,Soil Erosion Rate,t/ha/year,soil_erosion
2011,10.44787671828693,Soil Erosion Rate,t/ha/year,soil_erosion
2012,10.670835644729936,Soil Erosion Rate,t/ha/year,soil_erosion
2013,10.67438007137712,Soil Erosion Rate,t/ha/year,soil_erosion
2014,10.643592136926326,Soil Erosion Rate,t/ha/year,soil_erosion
2015,10.62196956013291,Soil Erosion Rate,t/ha/year,soil_erosion
2016,10.887245732828015,Soil Erosion Rate,t/ha/year,soil_erosion
2017,10.915020117795866,Soil Erosion Rate,t/ha/year,soil_erosion
2018,10.890082413622062,Soil Erosion Rate,t/ha/year,soil_erosion
2019,11.134663699604765,Soil Erosion Rate,t/ha/year,soil_erosion
2020,10.892991523367385,Soil Erosion Rate,t/ha/year,soil_erosion
2021,10.897447482907527,Soil Erosion Rate,t/ha/year,soil_erosion
2022,11.030809193011875,Soil Erosion Rate,t/ha/year,soil_erosion
2023,11.14544139836445,Soil Erosion Rate,t/ha/year,soil_erosion
2024,11.224333944932269,Soil Erosion Rate,t/ha/year,soil_erosion
