year,value,indicator,unit,code
2000,0.2481535335077782,Soil Moisture,m3/m3,soil_moisture
2001,0.24629663078876735,Soil Moisture,m3/m3,soil_moisture
2002,0.24604825349404533,Soil Moisture,m3/m3,soil_moisture
2003,0.24910728359321568,Soil Moisture,m3/m3,soil_moisture
2004,0.2441012022223361,Soil Moisture,m3/m3,soil_moisture
2005,0.2502647641296748,Soil Moisture,m3/m3,soil_moisture
2006,0.24498663580176178,Soil Moisture,m3/m3,soil_moisture
2007,0.24336967224738973,Soil Moisture,m3/m3,soil_moisture
2008,0.24028328443963756,Soil Moisture,m3/m3,soil_moisture
2009,0.24240061975881796,Soil Moisture,m3/m3,soil_moisture
2010,0.23884872434752444,Soil Moisture,m3/m3,soil_moisture
2011,0.2392440196292907,Soil Moisture,m3/m3,soil_moisture
2012,0.24312016907653758,Soil Moisture,m3/m3,soil_moisture
2013,0.23680788020055069,Soil Moisture,m3/m3,soil_moisture
2014,0.23829854665257133,Soil Moisture,m3/m3,soil_moisture
2015,0.2335936471497482,Soil Moisture,m3/m3,soil_moisture
2016,0.23393002301900606,Soil Moisture,m3/m3,soil_moisture
2017,0.236541601271271,Soil Moisture,m3/m3,soil_moisture
2018,0.23074606588442445,Soil Moisture,m3/m3,soil_moisture
2019,0.23462489711599388,Soil Moisture,m3/m3,soil_moisture
2020,0.23141550387091095,Soil Moisture,m3/m3,soil_moisture
2021,0.22787506644821148,Soil Moisture,m3/m3,soil_moisture
2022,0.22926481547811106,Soil Moisture,m3/m3,soil_moisture
2023,0.22894510889925346,Soil Moisture,m3/m3,soil_moisture
2024,0.2272436199244344,Soil Moisture,m3/m3,soil_moisture
