year,value,indicator,unit,code
2000,-95.60180089765646,Solar Installed Capacity,GW,solar_cap
2001,1.0584727275771684,Solar Installed Capacity,GW,solar_cap
2002,87.03705623612704,Solar Installed Capacity,GW,solar_cap
2003,95.6558220386192,Solar Installed Capacity,GW,solar_cap
2004,114.60632161009153,Solar Installed Capacity,GW,solar_cap
2005,97.49460290625329,Solar Installed Capacity,GW,solar_cap
2006,243.35155418970442,Solar Installed Capacity,GW,solar_cap
2007,169.6223700775198,Solar Installed Capacity,GW,solar_cap
2008,390.8044770951682,Solar Installed Capacity,GW,solar_cap
2009,376.5951802347603,Solar Installed Capacity,GW,solar_cap
2010,293.3958800428056,Solar Installed Capacity,GW,solar_cap
2011,425.2632738360109,Solar Installed Capacity,GW,solar_cap
2012,429.8274875527533,Solar Installed Capacity,GW,solar_cap
2013,555.5339608335345,Solar Installed Capacity,GW,solar_cap
2014,677.2360356818516,Solar Installed Capacity,GW,solar_cap
2015,459.98620242834045,Solar Installed Capacity,GW,solar_cap
2016,659.2020863317933,Solar Installed Capacity,GW,solar_cap
2017,677.1893763546688,Solar Installed Capacity,GW,solar_cap
2018,783.7072061160372,Solar Installed Capacity,GW,solar_cap
2019,787.0557302590151,Solar Installed Capacity,GW,solar_cap
2020,749.8424534608945,Solar Installed Capacity,GW,solar_cap
2021,824.4756851466706,Solar Installed Capacity,GW,solar_cap
2022,826.3179314557209,Solar Installed Capacity,GW,solar_cap
2023,1016.0805710878878,Solar Installed Capacity,GW,solar_cap
2024,971.7049318937554,Solar Installed Capacity,GW,solar_cap
