year,value,indicator,unit,code
2000,1361.0092420694853,Solar Irradiance,W/m2,solar_irrad
2001,1360.9939811939114,Solar Irradiance,W/m2,solar_irrad
2002,1360.9679956624568,Solar Irradiance,W/m2,solar_irrad
2003,1360.9713960416998,Solar Irradiance,W/m2,solar_irrad
2004,1360.9522937280628,Solar Irradiance,W/m2,solar_irrad
2005,1360.9522703469052,Solar Irradiance,W/m2,solar_irrad
2006,1360.9532426134904,Solar Irradiance,W/m2,solar_irrad
2007,1360.961720336323,Solar Irradiance,W/m2,solar_irrad
2008,1360.8952436900236,Solar Irradiance,W/m2,solar_irrad
2009,1360.9526606674933,Solar Irradiance,W/m2,solar_irrad
2010,1360.8609582440097,Solar Irradiance,W/m2,solar_irrad
2011,1360.8869642980994,Solar Irradiance,W/m2,solar_irrad
2012,1360.8917663441298,Solar Irradiance,W/m2,solar_irrad
2013,1360.8756198373546,Solar Irradiance,W/m2,solar_irrad
2014,1360.8475460096035,Solar Irradiance,W/m2,solar_irrad
2015,1360.8458375549928,Solar Irradiance,W/m2,solar_irrad
2016,1360.8301399813067,Solar Irradiance,W/m2,solar_irrad
2017,1360.818212704861,Solar Irradiance,W/m2,solar_irrad
2018,1360.8369920419404,Solar Irradiance,W/m2,solar_irrad
2019,1360.8171403097192,Solar Irradiance,W/m2,solar_irrad
2020,1360.7861418080947,Solar Irradiance,W/m2,solar_irrad
2021,1360.8079919975087,Solar Irradiance,W/m2,solar_irrad
2022,1360.7861459904175,Solar Irradiance,W/m2,solar_irrad
2023,1360.7862572423767,Solar Irradiance,W/m2,solar_irrad
2024,1360.7725925768384,Solar Irradiance,W/m2,solar_irrad
