year,value,indicator,unit,code
2000,17.87244578729645,Sea Surface Temperature,C,sst_anom
2001,17.992049998163697,Sea Surface Temperature,C,sst_anom
2002,18.080419495977452,Sea Surface Temperature,C,sst_anom
2003,18.12375844750118,Sea Surface Temperature,C,sst_anom
2004,18.12399476228166,Sea Surface Temperature,C,sst_anom
2005,18.2498279945878,Sea Surface Temperature,C,sst_anom
2006,18.15459036564939,Sea Surface Temperature,C,sst_anom
2007,18.268609641198296,Sea Surface Temperature,C,sst_anom
2008,18.329623650536952,Sea Surface Temperature,C,sst_anom
2009,18.401155106724698,Sea Surface Temperature,C,sst_anom
2010,18.45692919024711,Sea Surface Temperature,C,sst_anom
2011,18.350028632652972,Sea Surface Temperature,C,sst_anom
2012,18.35727086634115,Sea Surface Temperature,C,sst_anom
2013,18.62221414575188,Sea Surface Temperature,C,sst_anom
2014,18.586585120958365,Sea Surface Temperature,C,sst_anom
2015,18.540121077075476,Sea Surface Temperature,C,sst_anom
2016,18.7640921580418,Sea Surface Temperature,C,sst_anom
2017,18.68925397074343,Sea Surface Temperature,C,sst_anom
2018,18.814343774725106,Sea Surface Temperature,C,sst_anom
2019,18.76540147851281,Sea Surface Temperature,C,sst_anom
2020,18.96485983399056,Sea Surface Temperature,C,sst_anom
2021,18.980427267395456,Sea Surface Temperature,C,sst_anom
2022,18.860082868121673,Sea Surface Temperature,C,sst_anom
2023,18.99772567607635,Sea Surface Temperature,C,sst_anom
2024,19.011630075966814,Sea Surface Temperature,C,sst_anom
