year,value,indicator,unit,code
2000,0.5496714153011233,Surface Temperature Anomaly,C,temp_anomaly
2001,0.5361735698828816,Surface Temperature Anomaly,C,temp_anomaly
2002,0.6647688538100692,Surface Temperature Anomaly,C,temp_anomaly
2003,0.8023029856408026,Surface Temperature Anomaly,C,temp_anomaly
2004,0.6765846625276664,Surface Temperature Anomaly,C,temp_anomaly
2005,0.726586304305082,Surface Temperature Anomaly,C,temp_anomaly
2006,0.9579212815507392,Surface Temperature Anomaly,C,temp_anomaly
2007,0.926743472915291,Surface Temperature Anomaly,C,temp_anomaly
2008,0.8530525614065048,Surface Temperature Anomaly,C,temp_anomaly
2009,1.0042560043585964,Surface Temperature Anomaly,C,temp_anomaly
2010,0.9536582307187538,Surface Temperature Anomaly,C,temp_anomaly
2011,1.0034270246429744,Surface Temperature Anomaly,C,temp_anomaly
2012,1.1241962271566035,Surface Temperature Anomaly,C,temp_anomaly
2013,0.9586719755342201,Surface Temperature Anomaly,C,temp_anomaly
2014,1.0275082167486969,Surface Temperature Anomaly,C,temp_anomaly
2015,1.1937712470759028,Surface Temperature Anomaly,C,temp_anomaly
2016,1.1987168879665577,Surface Temperature Anomaly,C,temp_anomaly
2017,1.3814247332595275,Surface Temperature Anomaly,C,temp_anomaly
2018,1.309197592447879,Surface Temperature Anomaly,C,temp_anomaly
2019,1.308769629866471,Surface Temperature Anomaly,C,temp_anomaly
2020,1.6465648768921555,Surface Temperature Anomaly,C,temp_anomaly
2021,1.5274223699513465,Surface Temperature Anomaly,C,temp_anomaly
2022,1.6067528204687924,Surface Temperature Anomaly,C,temp_anomaly
2023,1.5075251813786545,Surface Temperature Anomaly,C,temp_anomaly
2024,1.6455617275474819,Surface Temperature Anomaly,C,temp_anomaly
