year,value,indicator,unit,code
2000,6.069695440451073,Transport Emissions,GtCO2,transport_emis
2001,6.016618051024399,Transport Emissions,GtCO2,transport_emis
2002,6.217312463758664,Transport Emissions,GtCO2,transport_emis
2003,6.18696421921981,Transport Emissions,GtCO2,transport_emis
2004,6.189269785599577,Transport Emissions,GtCO2,transport_emis
2005,6.294771692581028,Transport Emissions,GtCO2,transport_emis
2006,6.14291238479315,Transport Emissions,GtCO2,transport_emis
2007,6.237323253109019,Transport Emissions,GtCO2,transport_emis
2008,6.280607499360094,Transport Emissions,GtCO2,transport_emis
2009,6.4642943094763705,Transport Emissions,GtCO2,transport_emis
2010,6.673251499948509,Transport Emissions,GtCO2,transport_emis
2011,6.773130014619263,Transport Emissions,GtCO2,transport_emis
2012,6.663805110144075,Transport Emissions,GtCO2,transport_emis
2013,6.700084447494446,Transport Emissions,GtCO2,transport_emis
2014,6.519894226584726,Transport Emissions,GtCO2,transport_emis
2015,6.695732620026598,Transport Emissions,GtCO2,transport_emis
2016,6.721221624809176,Transport Emissions,GtCO2,transport_emis
2017,6.787915240174888,Transport Emissions,GtCO2,transport_emis
2018,6.883185618141521,Transport Emissions,GtCO2,transport_emis
2019,6.902790942230287,Transport Emissions,GtCO2,transport_emis
2020,6.8020700189624215,Transport Emissions,GtCO2,transport_emis
2021,7.124791025611753,Transport Emissions,GtCO2,transport_emis
2022,6.992725697426019,Transport Emissions,GtCO2,transport_emis
2023,7.173924686411115,Transport Emissions,GtCO2,transport_emis
2024,7.407408266974998,Transport Emissions,GtCO2,transport_emis
