year,value,indicator,unit,code
2000,31.443478487829395,Urban Flood Risk,index,urban_flood
2001,30.24727696661816,Urban Flood Risk,index,urban_flood
2002,31.375806353718545,Urban Flood Risk,index,urban_flood
2003,30.165381633703067,Urban Flood Risk,index,urban_flood
2004,30.834850898545593,Urban Flood Risk,index,urban_flood
2005,32.377925022304304,Urban Flood Risk,index,urban_flood
2006,33.58729282282877,Urban Flood Risk,index,urban_flood
2007,33.08449067902853,Urban Flood Risk,index,urban_flood
2008,32.94955357558148,Urban Flood Risk,index,urban_flood
2009,33.59943312433869,Urban Flood Risk,index,urban_flood
2010,32.99967381282423,Urban Flood Risk,index,urban_flood
2011,34.883612261084295,Urban Flood Risk,index,urban_flood
2012,35.50586644985872,Urban Flood Risk,index,urban_flood
2013,34.838327733733536,Urban Flood Risk,index,urban_flood
2014,35.2239662817924,Urban Flood Risk,index,urban_flood
2015,36.21270258372164,Urban Flood Risk,index,urban_flood
2016,36.05062421116752,Urban Flood Risk,index,urban_flood
2017,36.74709390829934,Urban Flood Risk,index,urban_flood
2018,38.87977743133322,Urban Flood Risk,index,urban_flood
2019,37.402379439403205,Urban Flood Risk,index,urban_flood
2020,37.71332787838302,Urban Flood Risk,index,urban_flood
2021,37.88196655549187,Urban Flood Risk,index,urban_flood
2022,39.39535357719995,Urban Flood Risk,index,urban_flood
2023,39.05502066142552,Urban Flood Risk,index,urban_flood
2024,39.08050156934286,Urban Flood Risk,index,urban_flood
