year,value,indicator,unit,code
2000,1.9824145595567928,Urban Heat Island Intensity,C,urban_heat
2001,2.2161470165728017,Urban Heat Island Intensity,C,urban_heat
2002,2.1020886488295965,Urban Heat Island Intensity,C,urban_heat
2003,2.1730700905718683,Urban Heat Island Intensity,C,urban_heat
2004,2.073983523482742,Urban Heat Island Intensity,C,urban_heat
2005,2.1883638591960524,Urban Heat Island Intensity,C,urban_heat
2006,2.262480361967606,Urban Heat Island Intensity,C,urban_heat
2007,2.3182284903243766,Urban Heat Island Intensity,C,urban_heat
2008,2.5281643795003768,Urban Heat Island Intensity,C,urban_heat
2009,2.5057691060725125,Urban Heat Island Intensity,C,urban_heat
2010,2.3888542043062966,Urban Heat Island Intensity,C,urban_heat
2011,2.5746504778432002,Urban Heat Island Intensity,C,urban_heat
2012,2.6498221748496786,Urban Heat Island Intensity,C,urban_heat
2013,2.7640149038521264,Urban Heat Island Intensity,C,urban_heat
2014,2.8580540686568376,Urban Heat Island Intensity,C,urban_heat
2015,2.6484905808172132,Urban Heat Island Intensity,C,urban_heat
2016,2.718914248878966,Urban Heat Island Intensity,C,urban_heat
2017,2.7242422141085383,Urban Heat Island Intensity,C,urban_heat
2018,2.8765980140893017,Urban Heat Island Intensity,C,urban_heat
2019,2.9966358374446336,Urban Heat Island Intensity,C,urban_heat
2020,3.09873345165891,Urban Heat Island Intensity,C,urban_heat
2021,3.0424048976357474,Urban Heat Island Intensity,C,urban_heat
2022,3.0680152476745155,Urban Heat Island Intensity,C,urban_heat
2023,3.1651757992248744,Urban Heat Island Intensity,C,urban_heat
2024,3.116485709836998,Urban Heat Island Intensity,C,urban_heat
