year,value,indicator,unit,code
2000,5.01243630262392,UV Index Anomaly,index,uv_index
2001,5.079014248677981,UV Index Anomaly,index,uv_index
2002,5.0743063849280805,UV Index Anomaly,index,uv_index
2003,5.053602458801462,UV Index Anomaly,index,uv_index
2004,5.079239351683893,UV Index Anomaly,index,uv_index
2005,5.059898825414487,UV Index Anomaly,index,uv_index
2006,5.119259474560304,UV Index Anomaly,index,uv_index
2007,5.128453654443194,UV Index Anomaly,index,uv_index
2008,5.172908742413524,UV Index Anomaly,index,uv_index
2009,5.146910762257907,UV Index Anomaly,index,uv_index
2010,5.220773860569647,UV Index Anomaly,index,uv_index
2011,5.281309556520103,UV Index Anomaly,index,uv_index
2012,5.235649594061726,UV Index Anomaly,index,uv_index
2013,5.276068468883958,UV Index Anomaly,index,uv_index
2014,5.307605759668445,UV Index Anomaly,index,uv_index
2015,5.283951181124566,UV Index Anomaly,index,uv_index
2016,5.328963699272417,UV Index Anomaly,index,uv_index
2017,5.340503696031272,UV Index Anomaly,index,uv_index
2018,5.363907043941953,UV Index Anomaly,index,uv_index
2019,5.3490796086457815,UV Index Anomaly,index,uv_index
2020,5.400980406970358,UV Index Anomaly,index,uv_index
2021,5.439919931649818,UV Index Anomaly,index,uv_index
2022,5.498045744311802,UV Index Anomaly,index,uv_index
2023,5.498370833043408,UV Index Anomaly,index,uv_index
2024,5.566127298300462,UV Index Anomaly,index,uv_index
