year,value,indicator,unit,code
2000,47.394019690675556,Vector-borne Disease Incidence,per 100k,vector_disease
2001,52.83049587909561,Vector-borne Disease Incidence,per 100k,vector_disease
2002,49.64289431561922,Vector-borne Disease Incidence,per 100k,vector_disease
2003,55.19915000218211,Vector-borne Disease Incidence,per 100k,vector_disease
2004,55.91021910284948,Vector-borne Disease Incidence,per 100k,vector_disease
2005,51.85806385090257,Vector-borne Disease Incidence,per 100k,vector_disease
2006,55.57384483439443,Vector-borne Disease Incidence,per 100k,vector_disease
2007,61.26586256731369,Vector-borne Disease Incidence,per 100k,vector_disease
2008,57.24520272526477,Vector-borne Disease Incidence,per 100k,vector_disease
2009,59.68542977045747,Vector-borne Disease Incidence,per 100k,vector_disease
2010,63.10894614380455,Vector-borne Disease Incidence,per 100k,vector_disease
2011,65.08013722227824,Vector-borne Disease Incidence,per 100k,vector_disease
2012,63.79630667349321,Vector-borne Disease Incidence,per 100k,vector_disease
2013,64.16597553274005,Vector-borne Disease Incidence,per 100k,vector_disease
2014,70.21368766807642,Vector-borne Disease Incidence,per 100k,vector_disease
2015,72.1733591931142,Vector-borne Disease Incidence,per 100k,vector_disease
2016,71.5492593218763,Vector-borne Disease Incidence,per 100k,vector_disease
2017,70.60476354215606,Vector-borne Disease Incidence,per 100k,vector_disease
2018,69.66016226806177,Vector-borne Disease Incidence,per 100k,vector_disease
2019,70.80693342426424,Vector-borne Disease Incidence,per 100k,vector_disease
2020,75.25403385263782,Vector-borne Disease Incidence,per 100k,vector_disease
2021,76.20415573013284,Vector-borne Disease Incidence,per 100k,vector_disease
2022,79.76383662307144,Vector-borne Disease Incidence,per 100k,vector_disease
2023,79.16108022208672,Vector-borne Disease Incidence,per 100k,vector_disease
2024,75.19260727577644,Vector-borne Disease Incidence,per 100k,vector_disease
