year,value,indicator,unit,code
2000,1.496114815469111,Waste Management Emissions,GtCO2,waste_emis
2001,1.51624112719986,Waste Management Emissions,GtCO2,waste_emis
2002,1.5194752646212286,Waste Management Emissions,GtCO2,waste_emis
2003,1.5072712233217638,Waste Management Emissions,GtCO2,waste_emis
2004,1.5240705228712454,Waste Management Emissions,GtCO2,waste_emis
2005,1.515283432654587,Waste Management Emissions,GtCO2,waste_emis
2006,1.5162038183521107,Waste Management Emissions,GtCO2,waste_emis
2007,1.5287328277541004,Waste Management Emissions,GtCO2,waste_emis
2008,1.5486239347238275,Waste Management Emissions,GtCO2,waste_emis
2009,1.5545312504537607,Waste Management Emissions,GtCO2,waste_emis
2010,1.555130854200973,Waste Management Emissions,GtCO2,waste_emis
2011,1.56225095786848,Waste Management Emissions,GtCO2,waste_emis
2012,1.5651617828711497,Waste Management Emissions,GtCO2,waste_emis
2013,1.5585851840477705,Waste Management Emissions,GtCO2,waste_emis
2014,1.5743192254467395,Waste Management Emissions,GtCO2,waste_emis
2015,1.5830040952522768,Waste Management Emissions,GtCO2,waste_emis
2016,1.5875429132981358,Waste Management Emissions,GtCO2,waste_emis
2017,1.5968891337147464,Waste Management Emissions,GtCO2,waste_emis
2018,1.5970830384720107,Waste Management Emissions,GtCO2,waste_emis
2019,1.5985144820754158,Waste Management Emissions,GtCO2,waste_emis
2020,1.6107015023831643,Waste Management Emissions,GtCO2,waste_emis
2021,1.6047347874075093,Waste Management Emissions,GtCO2,waste_emis
2022,1.601181253487723,Waste Management Emissions,GtCO2,waste_emis
2023,1.6133693303605623,Waste Management Emissions,GtCO2,waste_emis
2024,1.6125509735519357,Waste Management Emissions,GtCO2,waste_emis
