year,value,indicator,unit,code
2000,20.125224502647907,Water Scarcity Index,%,water_scarcity
2001,20.070594458874748,Water Scarcity Index,%,water_scarcity
2002,21.122297503032282,Water Scarcity Index,%,water_scarcity
2003,22.04329802903639,Water Scarcity Index,%,water_scarcity
2004,22.048860070325706,Water Scarcity Index,%,water_scarcity
2005,22.540591691203883,Water Scarcity Index,%,water_scarcity
2006,22.298008312193243,Water Scarcity Index,%,water_scarcity
2007,22.83709908244905,Water Scarcity Index,%,water_scarcity
2008,22.597394728200307,Water Scarcity Index,%,water_scarcity
2009,26.24957674318694,Water Scarcity Index,%,water_scarcity
2010,23.756136764608716,Water Scarcity Index,%,water_scarcity
2011,24.80709480220409,Water Scarcity Index,%,water_scarcity
2012,25.281592734430802,Water Scarcity Index,%,water_scarcity
2013,27.39492437694444,Water Scarcity Index,%,water_scarcity
2014,26.705050321707972,Water Scarcity Index,%,water_scarcity
2015,28.747742072673734,Water Scarcity Index,%,water_scarcity
2016,27.32650937575613,Water Scarcity Index,%,water_scarcity
2017,28.778994162223803,Water Scarcity Index,%,water_scarcity
2018,28.164652946740244,Water Scarcity Index,%,water_scarcity
2019,31.645149127773387,Water Scarcity Index,%,water_scarcity
2020,28.812401580970487,Water Scarcity Index,%,water_scarcity
2021,30.809820710227026,Water Scarcity Index,%,water_scarcity
2022,31.6337768809321,Water Scarcity Index,%,water_scarcity
2023,31.9137990974515,Water Scarcity Index,%,water_scarcity
2024,31.81471234112229,Water Scarcity Index,%,water_scarcity
