year,value,indicator,unit,code
2000,1506.1766602519792,Water Stress per Capita,m3,water_stress
2001,1524.0442988927048,Water Stress per Capita,m3,water_stress
2002,1484.8150635897714,Water Stress per Capita,m3,water_stress
2003,1522.033662283608,Water Stress per Capita,m3,water_stress
2004,1471.3101929126308,Water Stress per Capita,m3,water_stress
2005,1414.7847448168836,Water Stress per Capita,m3,water_stress
2006,1455.0668324220906,Water Stress per Capita,m3,water_stress
2007,1437.6231676976556,Water Stress per Capita,m3,water_stress
2008,1445.795055081655,Water Stress per Capita,m3,water_stress
2009,1423.463627025399,Water Stress per Capita,m3,water_stress
2010,1397.2308803203246,Water Stress per Capita,m3,water_stress
2011,1365.5140352742126,Water Stress per Capita,m3,water_stress
2012,1375.8195348542795,Water Stress per Capita,m3,water_stress
2013,1352.989590915814,Water Stress per Capita,m3,water_stress
2014,1348.3895310039056,Water Stress per Capita,m3,water_stress
2015,1361.771568088412,Water Stress per Capita,m3,water_stress
2016,1373.398090087028,Water Stress per Capita,m3,water_stress
2017,1337.8934305964597,Water Stress per Capita,m3,water_stress
2018,1296.0823387592964,Water Stress per Capita,m3,water_stress
2019,1318.8920533644027,Water Stress per Capita,m3,water_stress
2020,1323.932629732913,Water Stress per Capita,m3,water_stress
2021,1277.8043419136125,Water Stress per Capita,m3,water_stress
2022,1277.3196566665417,Water Stress per Capita,m3,water_stress
2023,1270.293763894584,Water Stress per Capita,m3,water_stress
2024,1244.3020337383552,Water Stress per Capita,m3,water_stress
