year,value,indicator,unit,code
2000,121.399355436586,Wetland Area,Mha,wetland_area
2001,120.42463368291277,Wetland Area,Mha,wetland_area
2002,119.05963036992017,Wetland Area,Mha,wetland_area
2003,117.85306322229442,Wetland Area,Mha,wetland_area
2004,118.6982233136136,Wetland Area,Mha,wetland_area
2005,117.89348538542176,Wetland Area,Mha,wetland_area
2006,117.89519322002774,Wetland Area,Mha,wetland_area
2007,117.13517180168196,Wetland Area,Mha,wetland_area
2008,117.04955271531934,Wetland Area,Mha,wetland_area
2009,114.96476478843944,Wetland Area,Mha,wetland_area
2010,116.31739406563433,Wetland Area,Mha,wetland_area
2011,114.6975996046924,Wetland Area,Mha,wetland_area
2012,116.07526087262526,Wetland Area,Mha,wetland_area
2013,112.81081218191044,Wetland Area,Mha,wetland_area
2014,114.73596380316525,Wetland Area,Mha,wetland_area
2015,112.69791078346265,Wetland Area,Mha,wetland_area
2016,111.34858199638555,Wetland Area,Mha,wetland_area
2017,111.01611416594568,Wetland Area,Mha,wetland_area
2018,110.67965269180569,Wetland Area,Mha,wetland_area
2019,110.92416594640191,Wetland Area,Mha,wetland_area
2020,110.5228354880355,Wetland Area,Mha,wetland_area
2021,108.92629999606142,Wetland Area,Mha,wetland_area
2022,108.97564540773902,Wetland Area,Mha,wetland_area
2023,110.64227035861187,Wetland Area,Mha,wetland_area
2024,109.72754317010072,Wetland Area,Mha,wetland_area
