year,value,indicator,unit,code
2000,3.5991457278141707,Wildfire Burned Area,Mha,wildfire_area
2001,4.895225409721913,Wildfire Burned Area,Mha,wildfire_area
2002,4.495024145982755,Wildfire Burned Area,Mha,wildfire_area
2003,4.446552904304293,Wildfire Burned Area,Mha,wildfire_area
2004,5.521905906142242,Wildfire Burned Area,Mha,wildfire_area
2005,4.960919210925377,Wildfire Burned Area,Mha,wildfire_area
2006,5.8169086944214765,Wildfire Burned Area,Mha,wildfire_area
2007,6.094528602013478,Wildfire Burned Area,Mha,wildfire_area
2008,7.051537339498947,Wildfire Burned Area,Mha,wildfire_area
2009,6.984818939727971,Wildfire Burned Area,Mha,wildfire_area
2010,6.984983824752914,Wildfire Burned Area,Mha,wildfire_area
2011,7.790659779520172,Wildfire Burned Area,Mha,wildfire_area
2012,8.434124529410388,Wildfire Burned Area,Mha,wildfire_area
2013,8.234686183811117,Wildfire Burned Area,Mha,wildfire_area
2014,8.206211571906028,Wildfire Burned Area,Mha,wildfire_area
2015,7.712898260589904,Wildfire Burned Area,Mha,wildfire_area
2016,8.160931802154778,Wildfire Burned Area,Mha,wildfire_area
2017,8.9168651773872,Wildfire Burned Area,Mha,wildfire_area
2018,9.034292678704428,Wildfire Burned Area,Mha,wildfire_area
2019,9.587817218208732,Wildfire Burned Area,Mha,wildfire_area
2020,10.033989954938264,Wildfire Burned Area,Mha,wildfire_area
2021,10.61781565261404,Wildfire Burned Area,Mha,wildfire_area
2022,10.557700733164545,Wildfire Burned Area,Mha,wildfire_area
2023,11.19190098629572,Wildfire Burned Area,Mha,wildfire_area
2024,11.238684648886071,Wildfire Burned Area,Mha,wildfire_area
