year,value,indicator,unit,code
2000,153.08334800271052,Wind Installed Capacity,GW,wind_cap
2001,50.753743032976544,Wind Installed Capacity,GW,wind_cap
2002,40.411526316267604,Wind Installed Capacity,GW,wind_cap
2003,19.039992517102107,Wind Installed Capacity,GW,wind_cap
2004,33.780222662083844,Wind Installed Capacity,GW,wind_cap
2005,84.11048398961572,Wind Installed Capacity,GW,wind_cap
2006,248.69886557080383,Wind Installed Capacity,GW,wind_cap
2007,300.61075162609535,Wind Installed Capacity,GW,wind_cap
2008,189.31665085775066,Wind Installed Capacity,GW,wind_cap
2009,397.65268198532806,Wind Installed Capacity,GW,wind_cap
2010,336.18572638215926,Wind Installed Capacity,GW,wind_cap
2011,415.27551083898845,Wind Installed Capacity,GW,wind_cap
2012,552.8554439778798,Wind Installed Capacity,GW,wind_cap
2013,537.7787521105872,Wind Installed Capacity,GW,wind_cap
2014,491.20285464659173,Wind Installed Capacity,GW,wind_cap
2015,482.6165442209299,Wind Installed Capacity,GW,wind_cap
2016,429.37292190694865,Wind Installed Capacity,GW,wind_cap
2017,564.6592676530306,Wind Installed Capacity,GW,wind_cap
2018,635.2208832820614,Wind Installed Capacity,GW,wind_cap
2019,615.8974330994172,Wind Installed Capacity,GW,wind_cap
2020,710.8120123035387,Wind Installed Capacity,GW,wind_cap
2021,760.3796318071138,Wind Installed Capacity,GW,wind_cap
2022,774.2600812734345,Wind Installed Capacity,GW,wind_cap
2023,779.4998193423578,Wind Installed Capacity,GW,wind_cap
2024,871.805827037671,Wind Installed Capacity,GW,wind_cap
