year,value,indicator,unit,code
2000,7.474782320913299,Average Wind Speed,m/s,wind_speed
2001,7.5083572389410955,Average Wind Speed,m/s,wind_speed
2002,7.522443123940253,Average Wind Speed,m/s,wind_speed
2003,7.490649305211023,Average Wind Speed,m/s,wind_speed
2004,7.42961260068092,Average Wind Speed,m/s,wind_speed
2005,7.440315318542675,Average Wind Speed,m/s,wind_speed
2006,7.465338222983733,Average Wind Speed,m/s,wind_speed
2007,7.415846610687624,Average Wind Speed,m/s,wind_speed
2008,7.428876388562925,Average Wind Speed,m/s,wind_speed
2009,7.425492681068587,Average Wind Speed,m/s,wind_speed
2010,7.381461390568439,Average Wind Speed,m/s,wind_speed
2011,7.388809492878764,Average Wind Speed,m/s,wind_speed
2012,7.315174653198619,Average Wind Speed,m/s,wind_speed
2013,7.3495122471733145,Average Wind Speed,m/s,wind_speed
2014,7.3549486369721375,Average Wind Speed,m/s,wind_speed
2015,7.325044336360703,Average Wind Speed,m/s,wind_speed
2016,7.372648226078632,Average Wind Speed,m/s,wind_speed
2017,7.301397172440788,Average Wind Speed,m/s,wind_speed
2018,7.3111991102660605,Average Wind Speed,m/s,wind_speed
2019,7.312614811545721,Average Wind Speed,m/s,wind_speed
2020,7.328825465781322,Average Wind Speed,m/s,wind_speed
2021,7.261282756976411,Average Wind Speed,m/s,wind_speed
2022,7.3032632750431,Average Wind Speed,m/s,wind_speed
2023,7.270204661220391,Average Wind Speed,m/s,wind_speed
2024,7.240369826979041,Average Wind Speed,m/s,wind_speed
